Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,diameter_m,is_potentially_hazardous,asteroid_lat,asteroid_lon,closest_delta_km,closest_deldot_kms,closest_date_time,delta_diff_percent
(2006 OT9),2025-Jan-30 04:17 ± < 00:01,9365764,9365704,8.82,8.81,20.0,260 m -  590 m,1,425.0,True,-10.60104477414996,324.2791517285158,9365980.965679117,-0.000306,2025-Jan-30 04:17,0.002957232890517863
(2014 PS59),2025-Aug-27 04:31 ± < 00:01,9462537,9462515,14.93,14.92,20.5,0.206±0.050 km,1,,True,42.420463614517956,56.86754324843792,9461674.143116966,0.0009432,2025-Aug-27 04:31,0.008886188112083417
(2016 GB1),2025-May-02 18:22 ± < 00:01,9590520,9590481,25.31,25.3,21.6,130 m -  290 m,0,210.0,True,71.81353209631685,247.51379257884523,9590675.347464703,0.0046509,2025-May-02 18:22,0.0020264621211701834
(2016 BP14),2025-Aug-19 13:22 ± < 00:01,9641144,9640996,17.35,17.35,21.1,0.285±0.072 km,1,,True,-3.3933169781928596,219.84142138201213,9642025.675995316,0.0004298,2025-Aug-19 13:22,0.010680182787300777
(2023 FC6),2025-May-03 18:40 ± < 00:01,9694857,9694815,11.46,11.45,20.6,200 m -  450 m,1,325.0,True,32.05170589275387,334.8187013703244,9694277.983550172,0.0002281,2025-May-03 18:40,0.005539212969279979
(2011 EL11),2025-Jan-24 19:22 ± < 00:01,9810798,9810771,21.91,21.91,19.9,280 m -  630 m,1,455.0,True,24.987553756265182,26.598237482001682,9811762.216069756,0.0018128,2025-Jan-24 19:22,0.01010334529015177
(2022 BJ),2025-Jul-05 17:33 ± < 00:01,9857080,9856962,23.64,23.64,21.5,130 m -  300 m,0,215.0,True,-1.7318392602642143,195.53879425479815,9858039.911036056,0.003498,2025-Jul-05 17:33,0.010935529994490545
(2019 AQ11),2025-Jul-14 15:44 ± 4_09:51,9936605,9889306,20.74,20.74,21.9,110 m -  250 m,0,180.0,True,40.34545310759426,112.30719699082529,9936532.968965106,0.0013436,2025-Jul-14 15:44,0.47755594745582464
(2016 LT),2025-Jul-01 03:58 ± < 00:01,9892080,9892042,9.51,9.51,21.6,130 m -  290 m,0,210.0,True,-71.68919121191847,342.6873150573963,9891864.997389823,0.0001222,2025-Jul-01 03:58,0.0017893434962852127
(2014 QX432),2025-Jul-07 14:51 ± < 00:01,9902862,9902828,20.25,20.25,19.9,280 m -  630 m,1,455.0,True,11.902949381635645,195.82299413966663,9903782.13149742,0.0019934,2025-Jul-07 14:51,0.009634939609375934
618350 (2021 PS2),2025-Mar-22 17:43 ± < 00:01,10126359,10126338,11.49,11.48,19.9,280 m -  620 m,1,450.0,True,56.38156620644005,86.68334615235429,10127204.570777886,0.0002101,2025-Mar-22 17:43,0.008557592862154273
(2025 OE13),2025-Sep-01 17:57 ± < 00:01,10255298,10252978,16.58,16.58,21.9,110 m -  250 m,0,180.0,True,-37.13162873826019,355.15511589112384,10255309.703887347,0.0008807,2025-Sep-01 17:57,0.022741723305630148
474163 (1999 SO5),2025-Apr-03 12:29 ± < 00:01,10390262,10390228,7.47,7.47,20.8,180 m -  400 m,1,290.0,True,-18.362555119633015,273.1973543428257,10389248.429987185,0.0001669,2025-Apr-03 12:29,0.009427800937720486
804325 (2015 XF352),2025-Apr-26 14:07 ± < 00:01,10433838,10433804,15.32,15.32,21.4,140 m -  310 m,0,225.0,True,-57.72462425209121,92.50484394593491,10433980.919206133,0.0013234,2025-Apr-26 14:07,0.0016956347477210835
455176 (1999 VF22),2025-Feb-24 00:28 ± < 00:01,10466235,10466224,23.61,23.61,20.7,190 m -  430 m,1,310.0,True,53.236301047898436,70.53761693442148,10467118.822305948,0.0025802,2025-Feb-24 00:28,0.008549619289129892
